feat     | Features                 | A new feature
fix      | Bug                      | Fixes A bug fix
docs     | Documentation            | Documentation only changes
style    | Styles                   | Changes that do not affect the meaning of the code (white-space, formatting, missing semi-colons, etc)
refactor | Code                     | Refactoring A code change that neither fixes a bug nor adds a feature
perf     | Performance Improvements | A code change that improves performance
test     | Test                     | Adding missing tests or correcting existing tests
build    | Build                    | Changes that affect the build system or external dependencies (example scopes: gulp, broccoli, npm)
ci       | Continuous Integrations  | Changes to our CI configuration files and scripts (example scopes: Travis, Circle, Browse­rStack, SauceLabs)
chore    | Chores                   | Other changes that don't modify src or test files
revert   | Reverts                  | Reverts to a previous commit
