

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.007  000.007: --- NVIM STARTING ---
000.089  000.082: event init
000.245  000.156: early init
000.284  000.039: locale set
000.536  000.252: init first window
002.604  002.067: inits 1
002.725  000.121: window checked
002.747  000.023: parsing arguments
003.845  000.150  000.150: require('vim.shared')
004.137  000.134  000.134: require('vim._meta')
004.151  000.284  000.150: require('vim._editor')
004.154  000.557  000.123: require('vim._init_packages')
004.170  000.865: init lua interpreter
009.118  004.949: expanding arguments
009.260  000.142: inits 2
009.783  000.523: init highlight
009.791  000.009: waiting for UI
014.227  004.436: done waiting for UI
014.441  000.214: clear screen
018.516  004.075: init default mappings & autocommands
026.356  003.192  003.192: sourcing /Users/eirikenger/Library/Application Support/bob/nightly/nvim-macos/share/nvim/runtime/ftplugin.vim
027.340  000.245  000.245: sourcing /Users/eirikenger/Library/Application Support/bob/nightly/nvim-macos/share/nvim/runtime/indent.vim
063.557  035.649  035.649: require('impatient')
096.784  033.221  033.221: require('tj.globals')
111.324  000.298  000.298: require('engeir.autocommands')
111.465  000.135  000.135: require('engeir.customcommands')
111.593  000.008  000.008: require('vim.keymap')
113.276  001.808  001.800: require('engeir.keymaps')
114.349  000.257  000.257: require('packer.util')
114.426  000.740  000.483: require('packer')
115.092  000.265  000.265: require('packer.log')
115.098  000.431  000.166: require('packer.async')
115.314  000.092  000.092: require('packer.result')
115.321  000.221  000.129: require('packer.jobs')
115.326  000.842  000.191: require('packer.plugin_utils')
115.458  000.118  000.118: require('packer.snapshot')
116.118  002.834  001.134: require('engeir.plugins')
150.873  034.751  034.751: require('engeir.settings')
151.336  000.234  000.234: require('aerial')
151.779  000.899  000.665: require('engeir.aerial')
152.026  000.241  000.241: require('engeir.align')
153.172  001.143  001.143: require('engeir.alpha')
153.931  000.754  000.754: require('engeir.autolist')
155.191  001.097  001.097: require('boole')
155.385  001.450  000.354: require('engeir.boole')
155.931  000.125  000.125: require('bufferline.lazy')
156.082  000.129  000.129: require('bufferline.constants')
156.289  000.203  000.203: require('bufferline.commands')
156.302  000.700  000.243: require('bufferline')
156.450  000.147  000.147: require('bufferline.utils')
156.649  000.194  000.194: require('vim.version')
159.589  000.230  000.230: require('bufferline.config')
159.838  000.240  000.240: require('bufferline.groups')
159.990  000.112  000.112: require('bufferline.colors')
160.762  000.158  000.158: require('bufferline.highlights')
160.981  000.006  000.006: require('vim.F')
162.848  001.365  001.365: require('bufferline.hover')
163.140  000.220  000.220: require('bufferline.ui')
163.212  007.823  004.451: require('engeir.bufferline')
163.587  000.096  000.096: require('plenary.functional')
163.598  000.237  000.141: require('plenary.job')
164.464  000.101  000.101: require('cmp.utils.debug')
164.699  000.139  000.139: require('cmp.utils.char')
164.727  000.258  000.119: require('cmp.utils.str')
164.887  000.156  000.156: require('cmp.utils.pattern')
165.715  000.094  000.094: require('cmp.utils.misc')
165.794  000.074  000.074: require('cmp.utils.buffer')
165.886  000.089  000.089: require('cmp.utils.api')
165.894  000.390  000.133: require('cmp.utils.keymap')
165.898  001.007  000.616: require('cmp.utils.feedkeys')
166.001  000.102  000.102: require('cmp.utils.async')
166.237  000.077  000.077: require('cmp.types.cmp')
166.341  000.101  000.101: require('cmp.types.lsp')
166.419  000.075  000.075: require('cmp.types.vim')
166.422  000.336  000.083: require('cmp.types')
166.499  000.075  000.075: require('cmp.utils.cache')
166.503  000.499  000.087: require('cmp.context')
166.784  000.100  000.100: require('cmp.config.mapping')
166.961  000.088  000.088: require('cmp.config.compare')
167.022  000.233  000.145: require('cmp.config.default')
167.038  000.437  000.104: require('cmp.config')
167.240  000.086  000.086: require('cmp.matcher')
167.249  000.209  000.123: require('cmp.entry')
167.257  000.753  000.107: require('cmp.source')
167.424  000.074  000.074: require('cmp.utils.event')
167.692  000.069  000.069: require('cmp.utils.options')
167.700  000.191  000.122: require('cmp.utils.window')
167.702  000.276  000.084: require('cmp.view.docs_view')
167.886  000.080  000.080: require('cmp.utils.autocmd')
167.902  000.199  000.119: require('cmp.view.custom_entries_view')
